id,name,parent_album,place_in_tracklist,featuring,parent_artist
590,Grow a Pear,47,7,,19
591,C U Next Tuesday,47,8,,19
592,Entre El Mar Y Una Estrella,48,1,,37
593,Regresa a mí,48,2,,37
594,Reencarnación,48,3,,37
595,Arrasando,48,4,,37
596,No hay que llorar,48,5,,37
597,Quiero amarte,48,6,,37
598,Suerte en mí,48,7,,37
599,Menta y canela,48,8,,37
600,Tumba la casa,48,9,,37
601,Pata Pata,48,10,,37
602,Siempre hay cariño,48,11,,37
603,Rosalinda,48,12,,37
604,The 1,49,1,,36
605,Cardigan,49,2,,36
606,The Last Great American Dynasty,49,3,,36
607,Exile,49,4,Bon Iver,36
608,My Tears Ricochet,49,5,,36
609,Mirrorball,49,6,,36
610,Seven,49,7,,36
611,August,49,8,,36
612,This Is Me Trying,49,9,,36
613,Illicit Affairs,49,10,,36
614,Invisible String,49,11,,36
615,Mad Woman,49,12,,36
616,Epiphany,49,13,,36
617,Betty,49,14,,36
618,Peace,49,15,,36
619,Hoax,49,16,,36
620,Forgive Me,50,1,,11
621,Baby Girl,50,2,,11
622,Do It,50,3,,11
623,Tipsy,50,4,,11
624,Ungodly Hour,50,5,,11
625,Busy Boy,50,6,,11
626,Catch Up,50,7,"Swae Lee, Mike Will Made-It",11
627,Lonely,50,8,,11
628,Don't Make It Harder on Me,50,9,,11
629,Wonder What She Thinks of Me,50,10,,11
630,ROYL,50,11,,11
631,Pray You Catch Me,51,1,,5
632,Hold Up,51,2,,5
633,Don't Hurt Yourself,51,3,Jack White,5
634,Sorry,51,4,,5
635,6 Inch,51,5,The Weeknd,5
636,Daddy Lessons,51,6,,5
637,Love Drought,51,7,,5
638,Sandcastles,51,8,,5
639,Freedom,51,9,Kendrick Lamar,5
640,All Night,51,10,,5
641,Formation,51,11,,5
642,Never Really Over,52,1,,17
643,Cry About It Later,52,2,,17
644,Teary Eyes,52,3,,17
645,Daisies,52,4,,17
646,Resilient,52,5,,17
647,Not the End of the World,52,6,,17
648,Smile,52,7,,17
649,Champagne Problems,52,8,,17
650,Tucked,52,9,,17
651,Harleys in Hawaii,52,10,,17
652,Only Love,52,11,,17
653,What Makes a Woman,52,12,,17
654,Envolver,53,1,,3
655,Gata,53,2,Chencho Corleone,3
656,I'd Rather Have Sex,53,3,,3
657,Gimme Your Number,53,4,Ty Dolla Sign,3
658,Maria elegante,53,5,Afro B,3
659,Love You,53,6,,3
660,Boys Don't Cry,53,7,,3
661,Versions of Me,53,8,,3
